State_Name,Season,N,P,K,pH,Crop,Crop Yield (kg per hectare)
Maharashtra,Kharif,29,31,35,5.62,Rice,1319.267126
Maharashtra,Kharif,97,10,40,7.21,Rice,1514.090964
Maharashtra,Kharif,24,27,56,7.21,Rice,2183.687786
Maharashtra,Summer,18,88,10,5.53,Rice,5015.409678
Maharashtra,Kharif,104,65,137,5.96,Rice,1002.665844
Maharashtra,Summer,116,91,126,5.71,Rice,2729.297816
Maharashtra,Kharif,130,5,53,5.84,Rice,2247.657678
Maharashtra,Kharif,58,96,45,5.82,Rice,2147.024814
Maharashtra,Kharif,10,78,8,7.43,Rice,4163.46923
Maharashtra,Kharif,70,38,47,5.9,Rice,4939.907682
Maharashtra,Kharif,30,45,90,6.88,Rice,1257.477144
Maharashtra,Summer,62,6,6,6.73,Rice,2734.522534
Maharashtra,Kharif,69,56,19,6.4,Sugarcane,3316.012299
Maharashtra,Kharif,87,82,39,6.43,Sugarcane,4403.833555
Maharashtra,Kharif,39,23,143,6.5,Sugarcane,2848.000449
Maharashtra,Whole Year,112,23,10,5.53,Sugarcane,3685.539844
Maharashtra,Kharif,78,94,42,6.71,Sugarcane,4604.580602
Maharashtra,Whole Year,86,99,92,7.04,Sugarcane,2229.955053
Maharashtra,Kharif,78,94,42,7.32,Sugarcane,4604.580602
Maharashtra,Whole Year,36,61,47,6.78,Sugarcane,1649.573297
Maharashtra,Kharif,64,33,26,7.12,Sugarcane,3990.861652
Maharashtra,Kharif,78,94,42,5.55,Sugarcane,4604.580602
Maharashtra,Whole Year,112,23,10,7.16,Sugarcane,3685.539844
Maharashtra,Whole Year,134,23,124,5.82,Sugarcane,2714.504899
Maharashtra,Kharif,78,94,42,5.61,Sugarcane,4604.580602
Maharashtra,Whole Year,16,49,40,7.44,Sugarcane,3406.956429
Maharashtra,Kharif,36,47,99,5.51,Sugarcane,5263.363446
Maharashtra,Whole Year,16,49,40,6.11,Sugarcane,3406.956429
Maharashtra,Whole Year,130,88,49,7.48,Sugarcane,5149.941531
Maharashtra,Kharif,36,47,99,6.9,Sugarcane,5263.363446
Maharashtra,Whole Year,81,34,40,6.33,Sugarcane,2557.02847
Maharashtra,Whole Year,16,49,40,6.84,Sugarcane,3406.956429
Maharashtra,Kharif,65,13,100,7.2,Sugarcane,4986.589675
Maharashtra,Whole Year,22,33,52,6.63,Sugarcane,1766.804312
Maharashtra,Kharif,36,47,99,7.13,Sugarcane,5263.363446
Maharashtra,Whole Year,86,99,92,6.76,Sugarcane,2229.955053
Maharashtra,Kharif,53,91,134,5.57,Sugarcane,3672.381884
Maharashtra,Whole Year,10,13,69,6.95,Sugarcane,4767.805728
Maharashtra,Whole Year,125,71,55,6.88,Sugarcane,1966.725431
Maharashtra,Kharif,36,47,99,7.17,Sugarcane,5263.363446
Maharashtra,Kharif,68,39,92,7.25,Sugarcane,3292.98302
Maharashtra,Kharif,95,96,48,7.23,Sugarcane,1966.394458
Maharashtra,Kharif,65,13,100,7.38,Sugarcane,4986.589675
Maharashtra,Whole Year,118,95,119,7.2,Sugarcane,3220.970651
Maharashtra,Whole Year,127,48,93,6.41,Sugarcane,3327.818527
Maharashtra,Whole Year,112,23,10,5.76,Sugarcane,3685.539844
Maharashtra,Kharif,65,13,100,6.33,Sugarcane,4986.589675
Maharashtra,Kharif,53,91,134,6.61,Sugarcane,3672.381884
Maharashtra,Kharif,64,33,26,6.21,Sugarcane,3990.861652
Maharashtra,Kharif,95,96,48,5.53,Sugarcane,1966.394458
Maharashtra,Kharif,68,39,92,6.75,Sugarcane,3292.98302
Maharashtra,Kharif,65,13,100,6.3,Sugarcane,4986.589675
Maharashtra,Kharif,39,23,143,5.76,Sugarcane,2848.000449
Maharashtra,Kharif,126,54,104,6.4,Sugarcane,4163.933381
Maharashtra,Whole Year,86,99,92,6.46,Sugarcane,2229.955053
Maharashtra,Whole Year,81,34,40,6.37,Sugarcane,2557.02847
Maharashtra,Kharif,36,47,99,5.6,Sugarcane,5263.363446
Maharashtra,Kharif,68,39,92,6.08,Sugarcane,3292.98302
Maharashtra,Kharif,68,39,92,6.91,Sugarcane,3292.98302
Maharashtra,Whole Year,78,62,103,6.94,Sugarcane,3585.80485
Maharashtra,Whole Year,127,48,93,6.49,Sugarcane,3327.818527
Maharashtra,Whole Year,10,13,69,7.42,Sugarcane,4767.805728
Maharashtra,Kharif,39,23,143,5.83,Sugarcane,2848.000449
Maharashtra,Whole Year,118,95,119,5.93,Sugarcane,3220.970651
Maharashtra,Whole Year,86,99,92,5.84,Sugarcane,2229.955053
Maharashtra,Kharif,36,47,99,7,Sugarcane,5263.363446
Maharashtra,Whole Year,81,34,40,6.27,Sugarcane,2557.02847
Maharashtra,Whole Year,7,23,68,6.34,Sugarcane,3042.246727
Maharashtra,Kharif,87,12,122,6.56,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,6.69,other oilseeds,2384.516832
Maharashtra,Kharif,48,14,141,7.29,other oilseeds,1864.07978
Maharashtra,Kharif,87,12,122,6.68,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,6.22,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,6.29,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,6.32,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,7.45,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,7.21,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,5.84,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,6.86,other oilseeds,2384.516832
Maharashtra,Kharif,48,14,141,6.37,other oilseeds,1864.07978
Maharashtra,Kharif,48,14,141,5.83,other oilseeds,1864.07978
Maharashtra,Kharif,48,14,141,6.92,other oilseeds,1864.07978
Maharashtra,Kharif,48,14,141,5.88,other oilseeds,1864.07978
Maharashtra,Kharif,48,14,141,6.89,other oilseeds,1864.07978
Maharashtra,Kharif,87,12,122,7.08,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,6.68,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,7.04,other oilseeds,2384.516832
Maharashtra,Kharif,48,14,141,6.97,other oilseeds,1864.07978
Maharashtra,Kharif,87,12,122,7.23,other oilseeds,2384.516832
Maharashtra,Kharif,48,14,141,6.67,other oilseeds,1864.07978
Maharashtra,Kharif,48,14,141,7.21,other oilseeds,1864.07978
Maharashtra,Kharif,87,12,122,6.24,other oilseeds,2384.516832
Maharashtra,Kharif,48,14,141,6.63,other oilseeds,1864.07978
Maharashtra,Kharif,48,14,141,7.38,other oilseeds,1864.07978
Maharashtra,Kharif,48,14,141,6.53,other oilseeds,1864.07978
Maharashtra,Kharif,87,12,122,5.52,other oilseeds,2384.516832
Maharashtra,Kharif,48,14,141,7.13,other oilseeds,1864.07978
Maharashtra,Kharif,48,14,141,6.07,other oilseeds,1864.07978
Maharashtra,Kharif,87,12,122,7.49,other oilseeds,2384.516832
Maharashtra,Kharif,48,14,141,7.46,other oilseeds,1864.07978
Maharashtra,Kharif,48,14,141,5.9,other oilseeds,1864.07978
Maharashtra,Kharif,87,12,122,5.86,other oilseeds,2384.516832
Maharashtra,Kharif,48,14,141,7.38,other oilseeds,1864.07978
Maharashtra,Kharif,48,14,141,5.8,other oilseeds,1864.07978
Maharashtra,Kharif,87,12,122,6.94,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,5.88,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,5.65,other oilseeds,2384.516832
Maharashtra,Kharif,48,14,141,6.88,other oilseeds,1864.07978
Maharashtra,Kharif,48,14,141,7.42,other oilseeds,1864.07978
Maharashtra,Kharif,48,14,141,6.05,other oilseeds,1864.07978
Maharashtra,Kharif,87,12,122,6.56,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,6.62,other oilseeds,2384.516832
Maharashtra,Kharif,87,12,122,5.59,other oilseeds,2384.516832
Maharashtra,Kharif,48,14,141,7.43,other oilseeds,1864.07978
Maharashtra,Kharif,8,40,22,6.91,Arhar/Tur,5956.290198
Maharashtra,Kharif,69,31,105,5.52,Arhar/Tur,1404.457495
Maharashtra,Kharif,31,86,125,6.22,Arhar/Tur,4114.526981
Maharashtra,Kharif,109,7,77,5.94,Arhar/Tur,4835.386156
Maharashtra,Kharif,102,33,142,7.35,Arhar/Tur,5727.796316
Maharashtra,Kharif,64,39,11,6.38,Arhar/Tur,4784.724101
Maharashtra,Kharif,122,80,70,5.68,Arhar/Tur,1850.219671
Maharashtra,Kharif,93,12,144,5.89,Arhar/Tur,1124.350248
Maharashtra,Kharif,111,24,81,6.15,Arhar/Tur,4440.870422
Maharashtra,Kharif,14,80,82,6.84,Arhar/Tur,1954.521051
Maharashtra,Kharif,111,24,81,6.79,Arhar/Tur,4440.870422
Maharashtra,Kharif,58,19,95,7.15,Arhar/Tur,2185.74557
Maharashtra,Kharif,100,33,78,7.23,Arhar/Tur,5931.109552
Maharashtra,Kharif,45,37,92,6.99,Arhar/Tur,2576.532428
Maharashtra,Kharif,18,21,53,6.98,Arhar/Tur,4450.233901
Maharashtra,Kharif,14,80,82,6.37,Arhar/Tur,1954.521051
Maharashtra,Kharif,96,44,61,6.34,Arhar/Tur,1612.861924
Maharashtra,Kharif,64,14,137,5.64,Arhar/Tur,2051.246742
Maharashtra,Kharif,7,11,55,5.58,Arhar/Tur,3427.977816
Maharashtra,Kharif,31,54,132,6.59,Arhar/Tur,1645.360948
Maharashtra,Kharif,64,14,137,6.91,Arhar/Tur,2051.246742
Maharashtra,Kharif,51,77,67,6.74,Arhar/Tur,3602.065401
Maharashtra,Kharif,45,37,92,7.21,Arhar/Tur,2576.532428
Maharashtra,Kharif,110,8,18,7.48,Arhar/Tur,4754.602219
Maharashtra,Kharif,7,11,55,6.29,Arhar/Tur,3427.977816
Maharashtra,Kharif,111,24,81,6.32,Arhar/Tur,4440.870422
Maharashtra,Kharif,14,89,73,7.31,Arhar/Tur,1817.973658
Maharashtra,Kharif,11,8,62,6.14,Arhar/Tur,5224.127074
Maharashtra,Kharif,111,24,81,7.28,Arhar/Tur,4440.870422
Maharashtra,Kharif,37,81,36,6.16,Arhar/Tur,5434.511372
Maharashtra,Kharif,64,14,137,7.4,Arhar/Tur,2051.246742
Maharashtra,Kharif,37,81,36,7.07,Arhar/Tur,5434.511372
Maharashtra,Kharif,134,47,41,6.83,Arhar/Tur,5019.815567
Maharashtra,Kharif,122,80,70,6.98,Arhar/Tur,1850.219671
Maharashtra,Kharif,64,14,137,5.96,Arhar/Tur,2051.246742
Maharashtra,Kharif,69,31,105,6.16,Arhar/Tur,1404.457495
Maharashtra,Kharif,37,21,56,6.05,Arhar/Tur,2995.027292
Maharashtra,Kharif,77,8,8,7.27,Arhar/Tur,4778.50767
Maharashtra,Kharif,51,77,67,6.17,Arhar/Tur,3602.065401
Maharashtra,Kharif,122,80,70,7.22,Arhar/Tur,1850.219671
Maharashtra,Kharif,122,80,70,5.6,Arhar/Tur,1850.219671
Maharashtra,Kharif,125,13,66,7.46,Arhar/Tur,972.4609328
Maharashtra,Kharif,35,81,108,5.9,Arhar/Tur,3243.689158
Maharashtra,Kharif,14,80,82,7.02,Arhar/Tur,1954.521051
Maharashtra,Kharif,51,77,67,6.27,Arhar/Tur,3602.065401
Maharashtra,Kharif,134,47,41,7.4,Arhar/Tur,5019.815567
Maharashtra,Kharif,37,81,36,6.61,Arhar/Tur,5434.511372
Maharashtra,Kharif,10,54,121,6.08,Arhar/Tur,2241.887912
Maharashtra,Kharif,77,8,8,7.2,Arhar/Tur,4778.50767
Maharashtra,Kharif,10,54,121,6.22,Arhar/Tur,2241.887912
Maharashtra,Kharif,100,33,78,7.47,Arhar/Tur,5931.109552
Maharashtra,Kharif,51,77,67,5.85,Arhar/Tur,3602.065401
Maharashtra,Kharif,8,40,22,6.68,Arhar/Tur,5956.290198
Maharashtra,Kharif,69,31,105,6.44,Arhar/Tur,1404.457495
Maharashtra,Kharif,102,33,142,7.44,Arhar/Tur,5727.796316
Maharashtra,Kharif,122,80,70,7.16,Arhar/Tur,1850.219671
Maharashtra,Kharif,39,75,79,6.4,Arhar/Tur,2247.630768
Maharashtra,Kharif,64,14,137,6.54,Arhar/Tur,2051.246742
Maharashtra,Kharif,64,39,11,6.02,Arhar/Tur,4784.724101
Maharashtra,Kharif,23,24,88,6.67,Arhar/Tur,4560.255644
Maharashtra,Kharif,35,81,108,5.95,Arhar/Tur,3243.689158
Maharashtra,Kharif,69,31,105,5.98,Arhar/Tur,1404.457495
Maharashtra,Kharif,111,24,81,6.06,Arhar/Tur,4440.870422
Maharashtra,Kharif,102,33,142,6.41,Arhar/Tur,5727.796316
Maharashtra,Kharif,111,24,81,7.49,Arhar/Tur,4440.870422
Maharashtra,Kharif,64,14,137,6.94,Arhar/Tur,2051.246742
Maharashtra,Kharif,7,11,55,5.57,Arhar/Tur,3427.977816
Maharashtra,Kharif,110,8,18,6.08,Arhar/Tur,4754.602219
Maharashtra,Kharif,69,31,105,6,Arhar/Tur,1404.457495
Maharashtra,Kharif,37,21,56,7.25,Arhar/Tur,2995.027292
Maharashtra,Kharif,102,33,142,6.6,Arhar/Tur,5727.796316
Maharashtra,Kharif,38,24,70,6.84,Arhar/Tur,4753.08021
Maharashtra,Kharif,35,81,108,6.87,Arhar/Tur,3243.689158
Maharashtra,Kharif,14,89,73,6.54,Arhar/Tur,1817.973658
Maharashtra,Kharif,117,94,25,6.99,Bajra,1652.146685
Maharashtra,Kharif,36,27,55,6.06,Bajra,4822.765815
Maharashtra,Kharif,31,49,18,7.25,Bajra,2703.711787
Maharashtra,Kharif,19,79,127,6.99,Bajra,3347.810974
Maharashtra,Kharif,55,90,19,5.6,Bajra,2790.955792
Maharashtra,Kharif,118,95,64,5.81,Bajra,1559.41615
Maharashtra,Kharif,128,99,116,7.38,Bajra,3546.200187
Maharashtra,Kharif,41,79,137,6.75,Bajra,4373.144686
Maharashtra,Kharif,36,16,34,7.03,Bajra,4941.652511
Maharashtra,Kharif,3,89,103,6.98,Bajra,2734.928451
Maharashtra,Kharif,13,32,25,5.57,Bajra,1279.378578
Maharashtra,Kharif,31,49,18,7.1,Bajra,2703.711787
Maharashtra,Kharif,33,93,112,7.29,Bajra,2890.70309
Maharashtra,Kharif,36,16,34,6.34,Bajra,4941.652511
Maharashtra,Kharif,117,94,25,6.31,Bajra,1652.146685
Maharashtra,Kharif,13,32,25,7.23,Bajra,1279.378578
Maharashtra,Kharif,36,16,34,7.06,Bajra,4941.652511
Maharashtra,Kharif,13,32,25,5.69,Bajra,1279.378578
Maharashtra,Kharif,13,32,25,7.37,Bajra,1279.378578
Maharashtra,Kharif,117,94,25,6.44,Bajra,1652.146685
Maharashtra,Kharif,36,27,55,7.24,Bajra,4822.765815
Maharashtra,Kharif,130,29,87,5.92,Bajra,2926.512403
Maharashtra,Kharif,41,79,137,7.44,Bajra,4373.144686
Maharashtra,Kharif,129,27,115,6.81,Bajra,2273.469522
Maharashtra,Kharif,36,27,55,6.8,Bajra,4822.765815
Maharashtra,Kharif,69,25,6,7.05,Bajra,1238.826046
Maharashtra,Kharif,36,16,34,6.81,Bajra,4941.652511
Maharashtra,Kharif,69,25,6,6.16,Bajra,1238.826046
Maharashtra,Kharif,36,27,55,5.74,Bajra,4822.765815
Maharashtra,Kharif,84,84,43,5.6,Bajra,1484.978061
Maharashtra,Kharif,36,31,89,6.4,Bajra,4809.48535
Maharashtra,Kharif,31,49,18,7.11,Bajra,2703.711787
Maharashtra,Kharif,104,57,30,5.51,Bajra,5208.369652
Maharashtra,Kharif,130,29,87,6.77,Bajra,2926.512403
Maharashtra,Kharif,31,49,18,5.76,Bajra,2703.711787
Maharashtra,Kharif,69,25,6,7.36,Bajra,1238.826046
Maharashtra,Kharif,66,90,135,6.02,Bajra,3661.847649
Maharashtra,Kharif,13,32,25,7.4,Bajra,1279.378578
Maharashtra,Kharif,117,94,25,7.24,Bajra,1652.146685
Maharashtra,Kharif,41,79,137,6.32,Bajra,4373.144686
Maharashtra,Kharif,126,15,134,7.21,Bajra,2262.852354
Maharashtra,Kharif,31,88,28,7.12,Bajra,3311.654791
Maharashtra,Kharif,117,94,25,6.98,Bajra,1652.146685
Maharashtra,Kharif,41,79,137,6.48,Bajra,4373.144686
Maharashtra,Kharif,84,84,43,6.81,Bajra,1484.978061
Maharashtra,Kharif,126,15,134,7.18,Bajra,2262.852354
Maharashtra,Kharif,31,49,18,6.45,Bajra,2703.711787
Maharashtra,Kharif,33,93,112,5.76,Bajra,2890.70309
Maharashtra,Kharif,55,90,19,6.14,Bajra,2790.955792
Maharashtra,Kharif,104,57,30,7.44,Bajra,5208.369652
Maharashtra,Kharif,104,57,30,6.97,Bajra,5208.369652
Maharashtra,Kharif,13,32,25,5.72,Bajra,1279.378578
Maharashtra,Kharif,104,57,30,5.79,Bajra,5208.369652
Maharashtra,Kharif,31,88,28,6.3,Bajra,3311.654791
Maharashtra,Kharif,42,59,144,6.34,Bajra,1059.510162
Maharashtra,Kharif,31,88,28,6.61,Bajra,3311.654791
Maharashtra,Kharif,33,93,112,6.28,Bajra,2890.70309
Maharashtra,Kharif,104,57,30,6.59,Bajra,5208.369652
Maharashtra,Kharif,66,90,135,6.93,Bajra,3661.847649
Maharashtra,Kharif,118,95,64,6.28,Bajra,1559.41615
Maharashtra,Kharif,114,22,147,6.24,Bajra,4163.070106
Maharashtra,Kharif,36,31,89,5.66,Bajra,4809.48535
Maharashtra,Kharif,13,32,25,5.71,Bajra,1279.378578
Maharashtra,Kharif,31,49,18,7.5,Bajra,2703.711787
Maharashtra,Kharif,66,90,135,6.45,Bajra,3661.847649
Maharashtra,Kharif,117,94,25,5.97,Bajra,1652.146685
Maharashtra,Kharif,104,57,30,6.46,Bajra,5208.369652
Maharashtra,Kharif,36,27,55,6.66,Bajra,4822.765815
Maharashtra,Kharif,36,16,34,5.79,Bajra,4941.652511
Maharashtra,Kharif,126,15,134,7.05,Bajra,2262.852354
Maharashtra,Kharif,91,40,18,6.17,Castor seed,1604.897696
Maharashtra,Kharif,43,84,6,6.42,Castor seed,4915.455231
Maharashtra,Kharif,19,64,126,5.65,Castor seed,2406.770949
Maharashtra,Kharif,9,50,72,5.87,Castor seed,5792.590158
Maharashtra,Kharif,38,61,67,7.06,Castor seed,4811.356166
Maharashtra,Kharif,112,45,96,5.85,Castor seed,4499.163077
Maharashtra,Kharif,38,61,67,6.2,Castor seed,4811.356166
Maharashtra,Kharif,9,50,72,6.75,Castor seed,5792.590158
Maharashtra,Kharif,113,66,144,5.75,Castor seed,2546.803544
Maharashtra,Kharif,113,66,144,6.69,Castor seed,2546.803544
Maharashtra,Kharif,56,61,48,6.95,Castor seed,5335.706586
Maharashtra,Kharif,106,46,29,5.99,Castor seed,3289.960467
Maharashtra,Kharif,33,68,20,5.58,Castor seed,2861.174971
Maharashtra,Kharif,33,68,20,7.41,Castor seed,2861.174971
Maharashtra,Kharif,33,68,20,6.43,Castor seed,2861.174971
Maharashtra,Kharif,33,68,20,6.41,Castor seed,2861.174971
Maharashtra,Kharif,56,61,48,7.22,Castor seed,5335.706586
Maharashtra,Kharif,40,57,45,7.41,Castor seed,3238.507967
Maharashtra,Kharif,33,68,20,6.09,Castor seed,2861.174971
Maharashtra,Kharif,0,49,117,6.81,Castor seed,4347.496993
Maharashtra,Kharif,56,61,48,5.66,Castor seed,5335.706586
Maharashtra,Kharif,33,68,20,6.92,Castor seed,2861.174971
Maharashtra,Kharif,40,57,45,7.28,Castor seed,3238.507967
Maharashtra,Kharif,94,83,32,6.22,Castor seed,4014.787114
Maharashtra,Kharif,97,71,20,7.23,Castor seed,5710.153076
Maharashtra,Kharif,131,25,67,5.52,Castor seed,2907.670794
Maharashtra,Kharif,63,69,64,6.09,Castor seed,2204.170529
Maharashtra,Kharif,38,61,67,6.74,Castor seed,4811.356166
Maharashtra,Kharif,19,64,126,5.87,Castor seed,2406.770949
Maharashtra,Kharif,56,61,48,5.9,Castor seed,5335.706586
Maharashtra,Kharif,87,28,29,6.71,Castor seed,1464.446178
Maharashtra,Kharif,97,71,20,5.67,Castor seed,5710.153076
Maharashtra,Kharif,9,50,72,6.23,Castor seed,5792.590158
Maharashtra,Kharif,63,69,64,6.14,Castor seed,2204.170529
Maharashtra,Kharif,56,61,48,7.41,Castor seed,5335.706586
Maharashtra,Kharif,87,28,29,6.55,Castor seed,1464.446178
Maharashtra,Kharif,112,45,96,6.81,Castor seed,4499.163077
Maharashtra,Kharif,0,49,117,5.65,Castor seed,4347.496993
Maharashtra,Kharif,19,64,126,5.65,Castor seed,2406.770949
Maharashtra,Kharif,43,84,6,5.97,Castor seed,4915.455231
Maharashtra,Kharif,106,46,29,6.99,Castor seed,3289.960467
Maharashtra,Kharif,19,64,126,6.75,Castor seed,2406.770949
Maharashtra,Kharif,97,71,20,7.2,Castor seed,5710.153076
Maharashtra,Kharif,87,28,29,6.11,Castor seed,1464.446178
Maharashtra,Kharif,0,49,117,5.93,Castor seed,4347.496993
Maharashtra,Kharif,33,68,20,6.72,Castor seed,2861.174971
Maharashtra,Kharif,33,68,20,5.69,Castor seed,2861.174971
Maharashtra,Kharif,40,57,45,6.81,Castor seed,3238.507967
Maharashtra,Kharif,38,61,67,6.58,Castor seed,4811.356166
Maharashtra,Kharif,19,64,126,7.25,Castor seed,2406.770949
Maharashtra,Kharif,63,69,64,6.59,Castor seed,2204.170529
Maharashtra,Kharif,43,84,6,7.39,Castor seed,4915.455231
Maharashtra,Kharif,43,84,6,6.05,Castor seed,4915.455231
Maharashtra,Kharif,63,69,64,7.49,Castor seed,2204.170529
Maharashtra,Kharif,9,50,72,6.88,Castor seed,5792.590158
Maharashtra,Kharif,33,68,20,7.2,Castor seed,2861.174971
Maharashtra,Kharif,19,64,126,6.29,Castor seed,2406.770949
Maharashtra,Kharif,106,46,29,6.6,Castor seed,3289.960467
Maharashtra,Kharif,19,64,126,6.54,Castor seed,2406.770949
Maharashtra,Kharif,106,46,29,6.2,Castor seed,3289.960467
Maharashtra,Kharif,19,64,126,6.34,Castor seed,2406.770949
Maharashtra,Kharif,43,84,6,7.19,Castor seed,4915.455231
Maharashtra,Kharif,97,71,20,7.11,Castor seed,5710.153076
Maharashtra,Kharif,63,69,64,7.47,Castor seed,2204.170529
Maharashtra,Kharif,131,25,67,6.83,Castor seed,2907.670794
Maharashtra,Kharif,106,46,29,7.16,Castor seed,3289.960467
Maharashtra,Kharif,94,83,32,6.31,Castor seed,4014.787114
Maharashtra,Kharif,33,68,20,5.86,Castor seed,2861.174971
Maharashtra,Kharif,106,46,29,7.32,Castor seed,3289.960467
Maharashtra,Kharif,40,57,45,5.96,Castor seed,3238.507967
Maharashtra,Kharif,112,45,96,7.45,Castor seed,4499.163077
Maharashtra,Kharif,97,71,20,7.25,Castor seed,5710.153076
Maharashtra,Kharif,38,61,67,6.28,Castor seed,4811.356166
Maharashtra,Kharif,106,46,29,6.15,Castor seed,3289.960467
Maharashtra,Kharif,43,84,6,7.16,Castor seed,4915.455231
Maharashtra,Kharif,122,52,33,6.45,Cotton(lint),4887.402329
Maharashtra,Kharif,79,40,65,5.63,Cotton(lint),4315.884311
Maharashtra,Kharif,93,45,55,6.26,Cotton(lint),1520.720299
Maharashtra,Kharif,79,40,65,6.43,Cotton(lint),4315.884311
Maharashtra,Kharif,114,93,54,6.4,Cotton(lint),4297.363264
Maharashtra,Kharif,23,24,29,5.53,Cotton(lint),2916.748152
Maharashtra,Kharif,45,86,80,6.36,Cotton(lint),4671.899548
Maharashtra,Kharif,60,68,47,5.69,Cotton(lint),1158.01833
Maharashtra,Kharif,36,99,114,7.38,Cotton(lint),4306.273808
Maharashtra,Kharif,114,93,54,6.4,Cotton(lint),4297.363264
Maharashtra,Kharif,79,40,65,7.16,Cotton(lint),4315.884311
Maharashtra,Kharif,57,19,48,7.08,Cotton(lint),2974.304928
Maharashtra,Kharif,104,84,110,5.7,Cotton(lint),5827.390119
Maharashtra,Kharif,47,51,14,6.06,Cotton(lint),4769.733527
Maharashtra,Kharif,122,52,33,6.62,Cotton(lint),4887.402329
Maharashtra,Kharif,58,91,41,6.91,Cotton(lint),4220.517763
Maharashtra,Kharif,58,91,41,6.43,Cotton(lint),4220.517763
Maharashtra,Kharif,111,40,108,6.92,Cotton(lint),3988.995028
Maharashtra,Kharif,13,72,66,7.4,Cotton(lint),1918.222511
Maharashtra,Kharif,120,53,130,7.47,Cotton(lint),3864.502136
Maharashtra,Kharif,13,72,66,6.97,Cotton(lint),1918.222511
Maharashtra,Kharif,45,86,80,5.9,Cotton(lint),4671.899548
Maharashtra,Kharif,63,61,27,7.44,Cotton(lint),5012.243784
Maharashtra,Kharif,111,40,108,5.58,Cotton(lint),3988.995028
Maharashtra,Kharif,108,23,25,6.25,Cotton(lint),4568.640671
Maharashtra,Kharif,120,53,130,6.7,Cotton(lint),3864.502136
